 Total Nb of available Diagnostics: ndiagt=   431
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   258 |ADVyTr03|100 |   257 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt34
   259 |DFrETr03|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt34 (Explicit part)
   260 |DFxETr03|100 |   261 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt34
   261 |DFyETr03|100 |   260 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt34
   262 |DFrITr03|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt34 (Implicit part)
   263 |TRAC04  |100 |       |SMR     MR|kg/kg           |pt35 concentration
   264 |UTRAC04 |100 |   265 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt35
   265 |VTRAC04 |100 |   264 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt35
   266 |WTRAC04 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt35
   267 |ForcTr04|100 |       |SMR     MR|kg/kg/s         |pt35 forcing tendency
   268 |AB_gTr04|100 |       |SMR     MR|kg/kg/s         |pt35 tendency from Adams-Bashforth
   269 |Tp_gTr04|100 |       |SMR     MR|kg/kg/s         |pt35 total transport tendency (before gchem_forcing_sep)
   270 |ADVrTr04|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt35
   271 |ADVxTr04|100 |   272 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt35
   272 |ADVyTr04|100 |   271 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt35
   273 |DFrETr04|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt35 (Explicit part)
   274 |DFxETr04|100 |   275 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt35
   275 |DFyETr04|100 |   274 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt35
   276 |DFrITr04|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt35 (Implicit part)
   277 |TRAC05  |100 |       |SMR     MR|kg/kg           |pt37 concentration
   278 |UTRAC05 |100 |   279 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt37
   279 |VTRAC05 |100 |   278 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt37
   280 |WTRAC05 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt37
   281 |ForcTr05|100 |       |SMR     MR|kg/kg/s         |pt37 forcing tendency
   282 |AB_gTr05|100 |       |SMR     MR|kg/kg/s         |pt37 tendency from Adams-Bashforth
   283 |Tp_gTr05|100 |       |SMR     MR|kg/kg/s         |pt37 total transport tendency (before gchem_forcing_sep)
   284 |ADVrTr05|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt37
   285 |ADVxTr05|100 |   286 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt37
   286 |ADVyTr05|100 |   285 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt37
   287 |DFrETr05|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt37 (Explicit part)
   288 |DFxETr05|100 |   289 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt37
   289 |DFyETr05|100 |   288 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt37
   290 |DFrITr05|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt37 (Implicit part)
   291 |TRAC06  |100 |       |SMR     MR|kg/kg           |Tracer 0006 concentration
   292 |UTRAC06 |100 |   293 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0006
   293 |VTRAC06 |100 |   292 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0006
   294 |WTRAC06 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0006
   295 |ForcTr06|100 |       |SMR     MR|kg/kg/s         |Tracer 0006 forcing tendency
   296 |AB_gTr06|100 |       |SMR     MR|kg/kg/s         |Tracer 0006 tendency from Adams-Bashforth
   297 |Tp_gTr06|100 |       |SMR     MR|kg/kg/s         |Tracer 0006 total transport tendency (before gchem_forcing_sep)
   298 |ADVrTr06|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0006
   299 |ADVxTr06|100 |   300 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0006
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |ADVyTr06|100 |   299 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0006
   301 |DFrETr06|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0006 (Explicit part)
   302 |DFxETr06|100 |   303 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0006
   303 |DFyETr06|100 |   302 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0006
   304 |DFrITr06|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0006 (Implicit part)
   305 |TRAC07  |100 |       |SMR     MR|kg/kg           |Tracer 0007 concentration
   306 |UTRAC07 |100 |   307 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0007
   307 |VTRAC07 |100 |   306 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0007
   308 |WTRAC07 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0007
   309 |ForcTr07|100 |       |SMR     MR|kg/kg/s         |Tracer 0007 forcing tendency
   310 |AB_gTr07|100 |       |SMR     MR|kg/kg/s         |Tracer 0007 tendency from Adams-Bashforth
   311 |Tp_gTr07|100 |       |SMR     MR|kg/kg/s         |Tracer 0007 total transport tendency (before gchem_forcing_sep)
   312 |ADVrTr07|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0007
   313 |ADVxTr07|100 |   314 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0007
   314 |ADVyTr07|100 |   313 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0007
   315 |DFrETr07|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0007 (Explicit part)
   316 |DFxETr07|100 |   317 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0007
   317 |DFyETr07|100 |   316 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0007
   318 |DFrITr07|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0007 (Implicit part)
   319 |TRAC08  |100 |       |SMR     MR|kg/kg           |Tracer 0008 concentration
   320 |UTRAC08 |100 |   321 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0008
   321 |VTRAC08 |100 |   320 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0008
   322 |WTRAC08 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0008
   323 |ForcTr08|100 |       |SMR     MR|kg/kg/s         |Tracer 0008 forcing tendency
   324 |AB_gTr08|100 |       |SMR     MR|kg/kg/s         |Tracer 0008 tendency from Adams-Bashforth
   325 |Tp_gTr08|100 |       |SMR     MR|kg/kg/s         |Tracer 0008 total transport tendency (before gchem_forcing_sep)
   326 |ADVrTr08|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0008
   327 |ADVxTr08|100 |   328 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0008
   328 |ADVyTr08|100 |   327 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0008
   329 |DFrETr08|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0008 (Explicit part)
   330 |DFxETr08|100 |   331 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0008
   331 |DFyETr08|100 |   330 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0008
   332 |DFrITr08|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0008 (Implicit part)
   333 |TRAC09  |100 |       |SMR     MR|kg/kg           |Tracer 0009 concentration
   334 |UTRAC09 |100 |   335 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0009
   335 |VTRAC09 |100 |   334 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0009
   336 |WTRAC09 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0009
   337 |ForcTr09|100 |       |SMR     MR|kg/kg/s         |Tracer 0009 forcing tendency
   338 |AB_gTr09|100 |       |SMR     MR|kg/kg/s         |Tracer 0009 tendency from Adams-Bashforth
   339 |Tp_gTr09|100 |       |SMR     MR|kg/kg/s         |Tracer 0009 total transport tendency (before gchem_forcing_sep)
   340 |ADVrTr09|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0009
   341 |ADVxTr09|100 |   342 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0009
   342 |ADVyTr09|100 |   341 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0009
   343 |DFrETr09|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0009 (Explicit part)
   344 |DFxETr09|100 |   345 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0009
   345 |DFyETr09|100 |   344 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0009
   346 |DFrITr09|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0009 (Implicit part)
   347 |TRAC10  |100 |       |SMR     MR|kg/kg           |Tracer 0010 concentration
   348 |UTRAC10 |100 |   349 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0010
   349 |VTRAC10 |100 |   348 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0010
   350 |WTRAC10 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0010
   351 |ForcTr10|100 |       |SMR     MR|kg/kg/s         |Tracer 0010 forcing tendency
   352 |AB_gTr10|100 |       |SMR     MR|kg/kg/s         |Tracer 0010 tendency from Adams-Bashforth
   353 |Tp_gTr10|100 |       |SMR     MR|kg/kg/s         |Tracer 0010 total transport tendency (before gchem_forcing_sep)
   354 |ADVrTr10|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0010
   355 |ADVxTr10|100 |   356 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0010
   356 |ADVyTr10|100 |   355 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0010
   357 |DFrETr10|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0010 (Explicit part)
   358 |DFxETr10|100 |   359 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0010
   359 |DFyETr10|100 |   358 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0010
   360 |DFrITr10|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0010 (Implicit part)
   361 |TRAC11  |100 |       |SMR     MR|kg/kg           |Tracer 0011 concentration
   362 |UTRAC11 |100 |   363 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0011
   363 |VTRAC11 |100 |   362 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0011
   364 |WTRAC11 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0011
   365 |ForcTr11|100 |       |SMR     MR|kg/kg/s         |Tracer 0011 forcing tendency
   366 |AB_gTr11|100 |       |SMR     MR|kg/kg/s         |Tracer 0011 tendency from Adams-Bashforth
   367 |Tp_gTr11|100 |       |SMR     MR|kg/kg/s         |Tracer 0011 total transport tendency (before gchem_forcing_sep)
   368 |ADVrTr11|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0011
   369 |ADVxTr11|100 |   370 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0011
   370 |ADVyTr11|100 |   369 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0011
   371 |DFrETr11|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0011 (Explicit part)
   372 |DFxETr11|100 |   373 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0011
   373 |DFyETr11|100 |   372 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0011
   374 |DFrITr11|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0011 (Implicit part)
   375 |TRAC12  |100 |       |SMR     MR|kg/kg           |Tracer 0012 concentration
   376 |UTRAC12 |100 |   377 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0012
   377 |VTRAC12 |100 |   376 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0012
   378 |WTRAC12 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0012
   379 |ForcTr12|100 |       |SMR     MR|kg/kg/s         |Tracer 0012 forcing tendency
   380 |AB_gTr12|100 |       |SMR     MR|kg/kg/s         |Tracer 0012 tendency from Adams-Bashforth
   381 |Tp_gTr12|100 |       |SMR     MR|kg/kg/s         |Tracer 0012 total transport tendency (before gchem_forcing_sep)
   382 |ADVrTr12|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0012
   383 |ADVxTr12|100 |   384 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0012
   384 |ADVyTr12|100 |   383 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0012
   385 |DFrETr12|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0012 (Explicit part)
   386 |DFxETr12|100 |   387 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0012
   387 |DFyETr12|100 |   386 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0012
   388 |DFrITr12|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0012 (Implicit part)
   389 |TRAC13  |100 |       |SMR     MR|kg/kg           |Tracer 0013 concentration
   390 |UTRAC13 |100 |   391 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0013
   391 |VTRAC13 |100 |   390 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0013
   392 |WTRAC13 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0013
   393 |ForcTr13|100 |       |SMR     MR|kg/kg/s         |Tracer 0013 forcing tendency
   394 |AB_gTr13|100 |       |SMR     MR|kg/kg/s         |Tracer 0013 tendency from Adams-Bashforth
   395 |Tp_gTr13|100 |       |SMR     MR|kg/kg/s         |Tracer 0013 total transport tendency (before gchem_forcing_sep)
   396 |ADVrTr13|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0013
   397 |ADVxTr13|100 |   398 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0013
   398 |ADVyTr13|100 |   397 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0013
   399 |DFrETr13|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0013 (Explicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   400 |DFxETr13|100 |   401 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0013
   401 |DFyETr13|100 |   400 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0013
   402 |DFrITr13|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0013 (Implicit part)
   403 |TRAC14  |100 |       |SMR     MR|kg/kg           |Tracer 0014 concentration
   404 |UTRAC14 |100 |   405 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0014
   405 |VTRAC14 |100 |   404 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0014
   406 |WTRAC14 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0014
   407 |ForcTr14|100 |       |SMR     MR|kg/kg/s         |Tracer 0014 forcing tendency
   408 |AB_gTr14|100 |       |SMR     MR|kg/kg/s         |Tracer 0014 tendency from Adams-Bashforth
   409 |Tp_gTr14|100 |       |SMR     MR|kg/kg/s         |Tracer 0014 total transport tendency (before gchem_forcing_sep)
   410 |ADVrTr14|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0014
   411 |ADVxTr14|100 |   412 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0014
   412 |ADVyTr14|100 |   411 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0014
   413 |DFrETr14|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0014 (Explicit part)
   414 |DFxETr14|100 |   415 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0014
   415 |DFyETr14|100 |   414 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0014
   416 |DFrITr14|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0014 (Implicit part)
   417 |TRAC15  |100 |       |SMR     MR|kg/kg           |Tracer 0015 concentration
   418 |UTRAC15 |100 |   419 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0015
   419 |VTRAC15 |100 |   418 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0015
   420 |WTRAC15 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0015
   421 |ForcTr15|100 |       |SMR     MR|kg/kg/s         |Tracer 0015 forcing tendency
   422 |AB_gTr15|100 |       |SMR     MR|kg/kg/s         |Tracer 0015 tendency from Adams-Bashforth
   423 |Tp_gTr15|100 |       |SMR     MR|kg/kg/s         |Tracer 0015 total transport tendency (before gchem_forcing_sep)
   424 |ADVrTr15|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0015
   425 |ADVxTr15|100 |   426 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0015
   426 |ADVyTr15|100 |   425 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0015
   427 |DFrETr15|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0015 (Explicit part)
   428 |DFxETr15|100 |   429 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0015
   429 |DFyETr15|100 |   428 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0015
   430 |DFrITr15|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0015 (Implicit part)
   431 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
